2020-09-04 06:23:29.578 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:29.672 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-support-helper
2020-09-04 06:23:29.726 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.782 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-version-checker
2020-09-04 06:23:29.783 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:29.888 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:29.942 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-timer
2020-09-04 06:23:29.945 | ERROR    |  8907 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant: MergeConflict
2020-09-04 06:23:30.030 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:30.067 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-weather
2020-09-04 06:23:30.137 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:30.156 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:30.162 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-singing
2020-09-04 06:23:30.163 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:30.174 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-wiki
2020-09-04 06:23:30.199 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:30.212 | INFO     |  8907 | msm.skill_entry | Successfully installed fallback-query
2020-09-04 06:23:30.212 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:32.155 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-configuration
2020-09-04 06:23:32.156 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:33.148 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-joke
2020-09-04 06:23:33.149 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:33.879 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-ip
2020-09-04 06:23:33.879 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:34.041 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2020-09-04 06:23:34.608 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-audio-record
2020-09-04 06:23:34.609 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:35.353 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-installer
2020-09-04 06:23:35.354 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:36.315 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-fallback-duck-duck-go
2020-09-04 06:23:36.316 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:44.186 | INFO     |  8907 | PairingSkill | Pairing code: WHJNXL
2020-09-04 06:23:45.459 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-npr-news
2020-09-04 06:23:45.460 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:49.115 | INFO     |  8907 | msm.skill_entry | Successfully installed fallback-wolfram-alpha
2020-09-04 06:23:49.116 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:04.304 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-date-time
2020-09-04 06:24:04.305 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:05.833 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-alarm
2020-09-04 06:24:05.833 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:06.602 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-stock
2020-09-04 06:24:06.603 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:09.241 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-support-helper
2020-09-04 06:24:09.242 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:10.061 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-timer
2020-09-04 06:24:10.061 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:15.527 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-weather
2020-09-04 06:24:15.528 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:17.218 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-wiki
2020-09-04 06:24:17.218 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:24:17.299 | INFO     |  8907 | mycroft.skills.skill_updater:_log_next_download_time:265 | Next scheduled skill update: 2020-09-04 07:24:17.299099
2020-09-04 06:24:17.300 | INFO     |  8907 | mycroft.skills.skill_updater:update_skills:168 | Skill update complete
2020-09-04 06:24:17.300 | INFO     |  8907 | mycroft.skills.skill_manager:_load_on_startup:270 | Loading installed skills...
2020-09-04 06:24:17.301 | INFO     |  8907 | mycroft.skills.skill_loader:load:161 | ATTEMPTING TO LOAD SKILL: mycroft-configuration.mycroftai
2020-09-04 06:24:17.307 | INFO     |  8907 | mycroft.skills.settings:get_local_settings:78 | /opt/mycroft/skills/mycroft-configuration.mycroftai/settings.json
2020-09-04 06:24:17.333 | INFO     |  8907 | mycroft.skills.skill_loader:_check_for_first_run:300 | First run of mycroft-configuration.mycroftai
2020-09-04 06:24:17.334 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/mycroft-configuration.mycroftai/settings.json
2020-09-04 06:24:17.335 | INFO     |  8907 | mycroft.skills.skill_loader:_communicate_load_status:320 | Skill mycroft-configuration.mycroftai loaded successfully
2020-09-04 06:24:17.337 | INFO     |  8907 | mycroft.skills.skill_loader:load:161 | ATTEMPTING TO LOAD SKILL: fallback-wolfram-alpha.mycroftai
2020-09-04 06:24:17.381 | INFO     |  8907 | mycroft.skills.settings:get_local_settings:78 | /opt/mycroft/skills/fallback-wolfram-alpha.mycroftai/settings.json
2020-09-04 06:24:17.407 | INFO     |  8907 | mycroft.skills.skill_loader:_check_for_first_run:300 | First run of fallback-wolfram-alpha.mycroftai
2020-09-04 06:24:17.408 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/fallback-wolfram-alpha.mycroftai/settings.json
2020-09-04 06:24:17.409 | INFO     |  8907 | mycroft.skills.skill_loader:_communicate_load_status:320 | Skill fallback-wolfram-alpha.mycroftai loaded successfully
2020-09-04 06:24:17.412 | INFO     |  8907 | mycroft.skills.skill_loader:load:161 | ATTEMPTING TO LOAD SKILL: mycroft-wiki.mycroftai
2020-09-04 06:24:17.496 | INFO     |  8907 | mycroft.skills.settings:get_local_settings:78 | /opt/mycroft/skills/mycroft-wiki.mycroftai/settings.json
2020-09-04 06:24:17.522 | INFO     |  8907 | mycroft.skills.skill_loader:_check_for_first_run:300 | First run of mycroft-wiki.mycroftai
2020-09-04 06:24:17.523 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/mycroft-wiki.mycroftai/settings.json
2020-09-04 06:24:17.524 | INFO     |  8907 | mycroft.skills.skill_loader:_communicate_load_status:320 | Skill mycroft-wiki.mycroftai loaded successfully
